Chemical Structure,Drug,Species,Route,Dose,Dose Comment,Dose Type,Adverse Effect / Toxicity,System Organ Class,Severity,Year
OS(O)(=O)=O.NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,abacavir sulfate,Human,In Vitro,50 mg/L/27H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1998
NC1=NC2=C(N=CN2COCCO)C(=O)N1,acyclovir,Human,In Vitro,250 ug/mL/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,1983
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,adefovir dipivoxil,Human,In Vitro,25-50 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2002
COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,ambrisentan,Human,In Vitro,1300 ug/mL/4H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2003
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2\N=C\N1CCCCCC1)C(O)=O,amdinocillin,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2024
COC1=CC(NS(C)(=O)=O)=CC=C1NC1=C2C=CC=CC2=NC2=C1C=CC=C2,amsacrine,Human,In Vitro,"0.05 uM, 1h",,,"Mutagenic: DNA damage, in leukemic cells",Mutagenicity,,2003
Cl.[H][C@@]12CC3=CC=C(O)C(O)=C3C3=C1C(CCN2C)=CC=C3,apomorphine hydrochloride,Human,In Vitro,356 ug/plate/20H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2003
Cl.O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1,arbutamine hydrochloride,Human,In Vitro,819.2-849.7 mg/L/3H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,1994
O1[As]2O[As]1O2,arsenic trioxide,Human,In Vitro,0.336 umol/L,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2000
OS(O)(=O)=O.COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=NC=CC=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,atazanavir sulfate,Human,In Vitro,30 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, with/without S9",Mutagenicity,,2002
NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,azacitidine,Human,In Vitro,20 uM/8H,,,"Mutagenic: Mitotic disturbance, in mammary tumor cells",Mutagenicity,,2001
[Na+].OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O,balsalazide disodium,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2007
[O-]S([O-])(=O)=O.C[C@@H](O)[C@H](NC(=O)[C@@H](C)[C@H](O)[C@@H](C)NC(=O)[C@@H](NC(=O)C1=C(C)C(N)=NC(=N1)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)C1=CNC=N1)C(=O)NCCC1=NC(=CS1)C1=NC=C(S1)C(N)=O,bleomycin sulfate,Human,In Vitro,100 ug/mL/20H,,,"Mutagenic: Chromosome aberration, in leukemic cells",Mutagenicity,,1973
CC(C)=O.[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C)=C([C@@H](OC)C(=O)[C@]1(C)[C@H](C[C@H]1OC[C@@]21OC(C)=O)OC)C3(C)C,cabazitaxel,Human,In Vitro,0.001 ug/mL/20H,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,2010
[H][C@]12CC[C@]([H])(O1)[C@]1(C)C(=O)OC(=O)[C@]21C,cantharidin,Human,In Vitro,Unreported,,,"Mutagenic: Micronucleus test, in leukemic cells",Mutagenicity,,2023
CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,capecitabine,Human,In Vitro,250-500 mg/L/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2007
[NH3][Pt]1([NH3])OC(=O)C2(CCC2)C(=O)O1,carboplatin,Human,In Vitro,10 uM/24H,,,"Mutagenic: Micronucleus test, in lymphocytes",Mutagenicity,,1997
[H][C@]12SCC(\C=C3/CCN([C@@H]4CCN(C4)C(=O)OCC4=C(C)OC(=O)O4)C3=O)=C(N1C(=O)[C@H]2NC(=O)C(=NO)C1=NSC(N)=N1)C(O)=O,ceftobiprole medocaril,Human,In Vitro,Unreported,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2024
CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1,ceritinib,Human,In Vitro,"4 ug/mL, 3H",,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,2014
ClC(Cl)Cl,chloroform,Human,In Vitro,10-2M/72H,,,"Mutagenic: Sister chromatid exchange, in lymphocytes",Mutagenicity,,1983
Cl.CN(C)CCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,chlorpromazine hydrochloride,Human,In Vitro,"1 mM, 30M",,,"Mutagenic: DNA damage, in lymphocytes",Mutagenicity,,1992
NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1,cidofovir,Human,In Vitro,12.5-100 ug/plate/48H,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1993
[NH3][Pt]([NH3])(Cl)Cl,cisplatin,Human,In Vitro,"2.5 uM, 24h",,,"Mutagenic: Chromosome aberration, in lymphocytes, without S9",Mutagenicity,,2004
NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1C[C@H](O)[C@@H](CO)O1,cladribine,Human,In Vitro,20 umol/L/24H,,,"Mutagenic: DNA damage, in lymphocytes",Mutagenicity,,1992
COC1=CC=C2C(=CC1=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C21)NC(C)=O,colchicine,Human,In Vitro,10 ng/mL,,Single,"Mutagenic: Unreported assay, in lymphoma cells",Mutagenicity,,2013
ClCCN(CCCl)P1(=O)NCCCO1,cyclophosphamide,Human,In Vitro,"0.5 mM, 48H",,,"Mutagenic: Sister chromatid exchange, in lymphocytes, without S9",Mutagenicity,,1981
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,cytarabine,Human,In Vitro,10 nM/4H,,,"Mutagenic: DNA synthesis, in leukemic cells",Mutagenicity,,2001
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,cytarabine liposome,Human,In Vitro,1-100 umol/l,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1998
Cl.COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,daunorubicin hydrochloride,Human,In Vitro,0.1 ug/mL/90M,,,"Mutagenic: Chromosome aberration, in sperm",Mutagenicity,,1995
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,dexamethasone,Human,In Vitro,10 ug/mL,,,"Mutagenic: Chromosome aberration, in lymphocytes",Mutagenicity,,1994
Cl.C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,dexrazoxane hydrochloride,Human,In Vitro,10-100 mg/L,,,"Mutagenic: Chromosome aberration, in lymphocytes, with S9",Mutagenicity,,1994
