drug_name,toxtype,smiles,dose,dose_label,ID,predicted_activity_ppb,predicted_activity_cmax,ppb,cmax(ug/ml),cmax_free(ug/ml),molecular_weight,cmax_free(uM)
BIA 10-2474,Nervous system disorders,CN(C(=O)n1cnc(-c2ccc[n+]([O-])c2)c1)C1CCCCC1,75,tensor([15]),PAIR_0,-0.4157544672489166,-0.27479490637779236,0.6166924528780352,0.531135211237045,0.20358813500937836,300.3620000000002,0.6778092268974711
Acomplia,Nervous system disorders,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,75,tensor([15]),PAIR_1,-2.5325276851654053,-0.44312426447868347,0.9980639815238019,0.3604754855806483,0.0006978872003006041,463.79600000000016,0.001504728803828847
Rubraca,,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,75,tensor([15]),PAIR_2,-0.7886032462120056,-0.89702969789505,0.8381346877308857,0.12675651843398966,0.020517483438463477,323.371,0.06344874289427152
lanifibranor,Hepatobiliary disorders,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,75,tensor([15]),PAIR_3,-1.9346086978912354,0.7147715091705322,0.9893644088282434,5.18527159861312,0.05514842883736998,434.92600000000016,0.12679956782848106
hydroxychloroquine,Cardiac disorders,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,75,tensor([15]),PAIR_4,-0.4868771433830261,-1.2297807931900024,0.6747458565833856,0.058914094469690176,0.01916205333190458,335.8790000000001,0.05705046559000287
Nuplazid,,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C2CCN(C)CC2)cc1,75,tensor([15]),PAIR_5,-1.5037028789520264,-1.1911797523498535,0.9696153144723826,0.06439027021931475,0.0019564781116521877,427.5640000000002,0.004575871943503632
Atabecestat,Hepatobiliary disorders,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=CSC(N)=N1,75,tensor([15]),PAIR_6,-0.9943467974662781,-0.16737748682498932,0.8995893824257077,0.6801778940925374,0.06829708240621324,367.4090000000001,0.185888430621496
Finerenone,Renal and urinary disorders;Cardiac disorders;Vascular disorders,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,75,tensor([15]),PAIR_7,-0.9362115263938904,-0.8272858262062073,0.8850637535183755,0.14883811933454177,0.017106894769696332,378.4320000000002,0.0452046728862684
Iptacopan,,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,75,tensor([15]),PAIR_8,-0.8346264958381653,0.2146226316690445,0.8545109885436043,1.6391648466801525,0.23848047315756982,422.5250000000002,0.5644174265607235
Aficamten,,CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1,75,tensor([15]),PAIR_9,-1.48812735080719,-0.12634524703025818,0.9684692708669459,0.7475749715321774,0.02357158393403172,337.38300000000004,0.06986595037103742
