canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
COc1ccc(-c2csc(NC(=O)C3CCCCN3S(=O)(=O)c3ccccc3)n2)cc1,P51787,,1580.0,,5.801,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccccc3)n2)cc1,P51787,,1470.0,,5.833,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccccc3C)n2)cc1,P51787,,1380.0,,5.86,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3cccc(C)c3)n2)cc1,P51787,,890.0,,6.051,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(C)cc3)n2)cc1,P51787,,260.0,,6.585,Ion Channel
CCCc1ccc(S(=O)(=O)N2CCCC[C@@H]2C(=O)Nc2nc(-c3ccc(OC)cc3)cs2)cc1,P51787,,700.0,,6.155,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(C(C)C)cc3)n2)cc1,P51787,,2590.0,,5.587,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccccc3C(F)(F)F)n2)cc1,P51787,,4740.0,,5.324,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3cccc(C(F)(F)F)c3)n2)cc1,P51787,,1000.0,,6.0,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(C(F)(F)F)cc3)n2)cc1,P51787,,1710.0,,5.767,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccccc3OC)n2)cc1,P51787,,1780.0,,5.75,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3cccc(OC)c3)n2)cc1,P51787,,810.0,,6.092,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc4c(c3)OCO4)n2)cc1,P51787,,780.0,,6.108,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3cccc(C#N)c3)n2)cc1,P51787,,880.0,,6.056,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(C#N)cc3)n2)cc1,P51787,,1630.0,,5.788,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3cccc(F)c3)n2)cc1,P51787,,1160.0,,5.936,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(F)cc3)n2)cc1,P51787,,1030.0,,5.987,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccccc3Cl)n2)cc1,P51787,,730.0,,6.137,Ion Channel
COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3cccc(Cl)c3)n2)cc1,P51787,,1410.0,,5.851,Ion Channel
