canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,P10275,,25.35,,7.596,NHR
CC#C[C@@]1(O)CC[C@@]2(CC)c3ccc(O)cc3CC[C@@H]2C1,P10275,,420.0,,6.377,NHR
CC(=O)CCc1ccc(O)cc1,P10275,,251459.2133333333,,3.6,NHR
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,P10275,,365.6864661654136,,6.437,NHR
CC1(C)CN(Cc2ccccc2)C(=O)[C@@H]1Oc1ccc(C#N)c(C(F)(F)F)c1,P10275,,69.0,,7.161,NHR
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccccc1,P10275,,150.0,,6.824,NHR
CC(=O)Cc1ccc(O)cc1,P10275,,417912.7933333333,,3.379,NHR
COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,P10275,,17000.0,,4.77,NHR
COc1cc(N2C(=O)C(C)(C)N(CCCS(N)(=O)=O)C2=S)ccc1C#N,P10275,,1900.0,,5.721,NHR
CN1C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)C,P10275,,15.0,,7.824,NHR
CCCCC1Oc2ccc(Cl)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,P10275,886.0,,6.053,,NHR
COc1ccc(C=C2c3ccccc3C(=O)c3ccccc32)c(O)c1,P10275,,187.9333333333333,,6.726,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)C(CCC(C)C)Oc1ccccc1-3,P10275,1485.0,,5.828,,NHR
CCCCC1Oc2ccc(C)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,P10275,903.0,,6.044,,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)C(C)Oc1ccc(F)cc1-3,P10275,456.0,,6.341,,NHR
CCCOC1Oc2ccc(Cl)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,P10275,697.0,,6.157,,NHR
