canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
CC(CC(=O)C[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O,P01375,8.81,,8.055,,Other
CCN1CCN(Cc2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1,P01375,0.29,238.0,9.538,6.623,Other
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCNCC4)cc3)NC(=O)NC1=O)C2,P01375,0.61,205.0,9.215,6.688,Other
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(CC4CCN(C)CC4)nc3)NC(=O)NC1=O)C2,P01375,0.47,194.9,9.328,6.71,Other
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4ncccc4O)cc3)NC(=O)NC1=O)C2,P01375,0.074,117.0,10.131,6.932,Other
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(CC(N)=O)cc3)NC(=O)NC1=O)C2,P01375,0.42,139.0,9.377,6.857,Other
CCN1CCN(c2ccc(O)c(-c3ccc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3F)n2)CC1,P01375,0.0988,39.75,10.005,7.401,Other
CCOC(=O)N1CCN(C(=O)c2ccc(Cn3c(=S)[nH]c4ccc(Br)cc4c3=O)cc2)CC1,P01375,,6862.0,,5.164,Other
CC(C)(C)c1ccc(-c2noc(CCC(=O)NCc3ccco3)n2)cc1,P01375,,13380.0,,4.874,Other
O=C(c1ccc(S(=O)(=O)Cc2ccccc2Cl)c([N+](=O)[O-])c1)N1CCN(c2ccccn2)CC1,P01375,,3669.75,,5.435,Other
CC(Nc1ncnc2sccc12)c1ccccc1,P01375,,2511.25,,5.6,Other
CC1CCc2c(sc(NC(=O)/C=C/c3cccs3)c2C(=O)O)C1,P01375,,14815.0,,4.829,Other
Oc1nc(/C=C/c2ccc(Cl)cc2Cl)cc(C(F)(F)F)n1,P01375,,3750.0,,5.426,Other
Nc1nc2ccccc2n1Cc1ccc(Cl)cc1,P01375,,8920.0,,5.05,Other
CCCCCn1c(=O)[nH]c2cc(C(=O)N3CCN(Cc4ccc5c(c4)OCO5)CC3)ccc2c1=O,P01375,,1075.25,,5.968,Other
COCCn1c(C)cc(C(=O)COC(=O)c2cccc(O)c2)c1C,P01375,,704.0,,6.152,Other
COCC1CCN(C(=O)c2cc(COc3ccc4ncccc4c3)on2)CC1,P01375,,6585.0,,5.181,Other
CCCOc1ccc(C=NN=C(S)Nc2ccccc2[N+](=O)[O-])c(O)c1,P01375,,880.0,,6.056,Other
CCCn1c(SCC(=O)Nc2nc3c(s2)CCCC3)nc2c1c(=O)n(C)c(=O)n2C,P01375,,2715.0,,5.566,Other
COc1cc(C(=O)Nc2scc(-c3ccc(Br)cc3)c2C(=O)O)cc(OC)c1OC,P01375,,13440.0,,4.872,Other
O=C(CSc1nc(O)c2c(-c3ccccc3)csc2n1)Nc1ccccc1,P01375,,1960.0,,5.708,Other
Oc1ccc(N=Nc2ccccc2C(F)(F)F)c2cccnc12,P01375,,13515.0,,4.869,Other
COc1cc(C(=O)Nc2sc3c(c2C(=O)O)CCC(C)C3)cc(OC)c1OC,P01375,,13705.0,,4.863,Other
CCCCn1c(SCC(=O)Nc2nnc(CC)s2)nc2c1c(=O)n(C)c(=O)n2C,P01375,,13050.0,,4.884,Other
O=[N+]([O-])c1ccc(Cl)c(/C=C/c2cc(C(F)(F)F)nc(O)n2)c1,P01375,,10300.0,,4.987,Other
COc1ccc(-c2cc(N)n(S(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)n2)cc1OC,P01375,,10300.0,,4.987,Other
O=C(Nc1sc2c(c1C(=O)O)CCCC2)c1ccccc1Cl,P01375,,16450.0,,4.784,Other
O=C(Nc1nc2c(F)cc(F)cc2s1)c1ccc([N+](=O)[O-])o1,P01375,,19850.0,,4.702,Other
Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)cc2)cc1,P01375,,8035.5,,5.095,Other
CCC(=O)N1c2ccc(S(=O)(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)cc2CC1C,P01375,,4043.3333333333335,,5.393,Other
O=C(c1ccc(Cn2c(=S)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccccn2)CC1,P01375,,6828.0,,5.166,Other
c1ccc(-c2csc3ncnc(NCc4ccccn4)c23)cc1,P01375,,5283.75,,5.277,Other
Cc1c(O)ccc2c(-c3ccccc3)cc(=O)oc12,P01375,,6620.0,,5.179,Other
O=C(c1ccc(S(=O)(=O)c2cccc(Cl)c2)c([N+](=O)[O-])c1)N1CCN(c2ccccn2)CC1,P01375,,3072.5,,5.513,Other
O=C(NC(=S)Nc1sc2c(c1C(=O)O)CCCC2)c1ccccc1,P01375,,15500.0,,4.81,Other
O=C(Nc1ccc(Oc2cccnc2)nc1)c1ccc(C(F)(F)F)cc1,P01375,,3553.5,,5.449,Other
Cc1oc(-c2ccccc2Cl)nc1CSc1nc(O)c2c(n1)CCCC2,P01375,,3090.0,,5.51,Other
CC(=O)Nc1nc2ccccc2n1Cc1ccccc1Cl,P01375,,19900.0,,4.701,Other
c1ccc(CNc2ncnc3scc(-c4cccs4)c23)nc1,P01375,,3220.0,,5.492,Other
Cc1cccc(-n2nc3c4c(ccc3c2O)C(=O)c2ccccc2C4=O)c1,P01375,,16300.0,,4.788,Other
C=CCN(c1ccccc1OC)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2ccc(N3CCOCC3)cc2)c1,P01375,,16600.0,,4.78,Other
CN(Cc1ccc(F)cc1)S(=O)(=O)c1nnc(NC(=O)c2ccccc2)s1,P01375,,17550.0,,4.756,Other
CN(C)S(=O)(=O)c1cccc(CSCc2cccc(S(=O)(=O)N(C)C)c2)c1,P01375,,2574.5,,5.589,Other
CCOc1cccc(C=NN=C(S)Nc2ccccc2[N+](=O)[O-])c1O,P01375,,414.0,,6.383,Other
Cc1cc(-c2ccc(C)c(S(=O)(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)c2)on1,P01375,,2236.5,,5.65,Other
O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc(CN2CCc3ccccc3C2)cc1,P01375,,627.0,,6.203,Other
Cc1cc(C(=O)NC2CCCc3c2cnn3-c2cccc(C)c2C)n(C)n1,P01375,,812.25,,6.09,Other
