canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,P30531,32.42,196.6266666666667,7.489,6.706,Transporter
O=C(O)[C@@H]1CCCN(CCOCCN2c3ccccc3CCc3ccccc32)C1,P30531,,39810.86,,4.4,Transporter
O=C(O)[C@@H]1CCCN(CCOCCN2c3ccccc3Sc3ccccc32)C1,P30531,,309.015,,6.51,Transporter
O=C(O)[C@@H]1CCCN(CCOCCN2c3ccccc3C=Cc3ccccc32)C1,P30531,,645.825,,6.19,Transporter
COc1ccccc1C1(O)CCN(CCCn2c3ccccc3c3ccccc32)CC1,P30531,,11400.0,,4.943,Transporter
Cc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1F,P30531,14.79,,7.83,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2F)C1,P30531,371.54,,6.43,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2Cl)C1,P30531,165.96,,6.78,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2Br)C1,P30531,199.765,,6.699,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2C(F)(F)F)C1,P30531,1905.46,,5.72,,Transporter
Cc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,93.33,,7.03,,Transporter
CCc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,102.33,,6.99,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2-c2ccccc2)C1,P30531,676.08,,6.17,,Transporter
COc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,371.54,,6.43,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2OC(F)(F)F)C1,P30531,645.65,,6.19,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2c(F)cccc2F)C1,P30531,691.83,,6.16,,Transporter
Cc1cc(F)ccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,380.19,,6.42,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2F)C1,P30531,69.18,,7.16,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2Cl)C1,P30531,40.74,,7.39,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2Br)C1,P30531,28.84,,7.54,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2C(F)(F)F)C1,P30531,93.33,,7.03,,Transporter
Cc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,20.42,,7.69,,Transporter
CCc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,29.51,,7.53,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2-c2ccccc2)C1,P30531,1071.52,,5.97,,Transporter
COc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,56.23,,7.25,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2OC(F)(F)F)C1,P30531,58.88,,7.23,,Transporter
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2c(F)cccc2F)C1,P30531,331.13,,6.48,,Transporter
